year,day,temperature,humidity ,atmospheric pressure
2022,11/6,13.5 ,61.0 ,1019.3
2022,11/7,13.7 ,70.0 ,1018.9
2022,11/8,15.9 ,55.0 ,1016.1
2022,11/9,14.6 ,58.0 ,1022.2
2022,11/10,15.2 ,64.0 ,1020.1
2022,11/11,16.1 ,66.0 ,1023.3
2022,11/12,16.6 ,77.0 ,1021.2
2022,11/13,18.0 ,82.0 ,1007.9
2022,11/14,16.1 ,52.0 ,1007.7
2022,11/15,11.1 ,93.0 ,1007.9
2022,11/16,12.4 ,66.0 ,1011.3
2022,11/17,12.8 ,58.0 ,1019.4
2022,11/18,13.2 ,67.0 ,1022.0
2022,11/19,13.7 ,61.0 ,1021.0
2022,11/20,11.6 ,80.0 ,1020.9
2022,11/21,13.4 ,93.0 ,1014.8
2022,11/22,15.4 ,74.0 ,1016.3
2022,11/23,11.7 ,93.0 ,1012.6
2022,11/24,15.3 ,66.0 ,1007.7
2022,11/25,13.5 ,67.0 ,1017.8
2022,11/26,12.7 ,81.0 ,1011.7
2022,11/27,14.4 ,54.0 ,1014.4
2022,11/28,11.7 ,65.0 ,1023.8
2022,11/29,16.7 ,84.0 ,1012.6
2022,11/30,16.6 ,81.0 ,1006.4
2022,12/1,10.1 ,74.0 ,1014.5
2022,12/2,9.4 ,60.0 ,1018.4
2022,12/3,7.8 ,67.0 ,1020.9
2022,12/4,10.2 ,66.0 ,1014.7
2022,12/5,7.6 ,78.0 ,1016.9
2022,12/6,6.1 ,94.0 ,1012.0
2022,12/7,8.5 ,71.0 ,1012.7
2022,12/8,9.3 ,62.0 ,1014.8
2022,12/9,9.3 ,66.0 ,1017.6
2022,12/10,10.4 ,65.0 ,1013.8
2022,12/11,9.5 ,72.0 ,1009.9
2022,12/12,8.2 ,59.0 ,1017.4
2022,12/13,7.2 ,87.0 ,1009.1
2022,12/14,9.2 ,52.0 ,1005.1
2022,12/15,7.0 ,47.0 ,1011.8
2022,12/16,8.2 ,51.0 ,1014.9
2022,12/17,6.7 ,64.0 ,1012.7
2022,12/18,6.5 ,57.0 ,1003.0
2022,12/19,4.9 ,38.0 ,1011.8
2022,12/20,5.4 ,48.0 ,1018.0
2022,12/21,6.5 ,60.0 ,1014.5
2022,12/22,7.2 ,86.0 ,992.6
2022,12/23,5.4 ,29.0 ,991.9
2022,12/24,6.2 ,42.0 ,995.6
2022,12/25,6.9 ,49.0 ,1002.5
2022,12/26,6.3 ,46.0 ,1009.8
2022,12/27,6.8 ,48.0 ,1017.9
2022,12/28,6.5 ,61.0 ,1018.6
2022,12/29,8.1 ,51.0 ,1015.6
2022,12/30,6.6 ,51.0 ,1019.6
2022,12/31,5.7 ,60.0 ,1019.4
2023,1/1,6.6 ,62.0 ,1015.8
2023,1/2,6.2 ,51.0 ,1015.7
2023,1/3,5.8 ,42.0 ,1015.2
2023,1/4,5.6 ,47.0 ,1015.2
2023,1/5,5.9 ,36.0 ,1018.8
2023,1/6,5.3 ,47.0 ,1017.0
2023,1/7,6.0 ,59.0 ,1010.4
2023,1/8,7.0 ,58.0 ,1015.7
2023,1/9,8.0 ,61.0 ,1013.5
2023,1/10,6.3 ,42.0 ,1014.9
2023,1/11,5.4 ,52.0 ,1021.3
2023,1/12,6.1 ,52.0 ,1021.2
2023,1/13,8.7 ,60.0 ,1017.9
2023,1/14,9.5 ,81.0 ,1004.9
2023,1/15,10.3 ,84.0 ,1006.9
2023,1/16,6.3 ,90.0 ,1008.0
2023,1/17,4.7 ,65.0 ,1019.0
2023,1/18,7.3 ,64.0 ,1013.8
2023,1/19,6.3 ,61.0 ,1018.3
2023,1/20,7.6 ,63.0 ,1011.2
2023,1/21,5.6 ,37.0 ,1018.1
2023,1/22,4.9 ,51.0 ,1021.5
2023,1/23,4.5 ,77.0 ,1015.6
2023,1/24,4.7 ,61.0 ,997.6
2023,1/25,(0.3),30.0 ,1011.7
2023,1/26,3.0 ,44.0 ,1013.8
2023,1/27,3.8 ,59.0 ,1004.9
2023,1/28,3.7 ,37.0 ,1005.0
2023,1/29,3.4 ,50.0 ,1010.1
2023,1/30,4.2 ,53.0 ,1008.5
2023,1/31,4.6 ,38.0 ,1014.6
2023,2/1,6.8 ,47.0 ,1010.0
2023,2/2,6.4 ,36.0 ,1013.6
2023,2/3,4.8 ,47.0 ,1016.3
2023,2/4,6.5 ,58.0 ,1014.0
2023,2/5,6.8 ,55.0 ,1018.3
2023,2/6,7.8 ,56.0 ,1017.5
2023,2/7,10.5 ,63.0 ,1014.9
2023,2/8,8.7 ,70.0 ,1013.2
2023,2/9,6.2 ,39.0 ,1022.7
2023,2/10,1.9 ,82.0 ,1018.9
2023,2/11,8.7 ,61.0 ,1015.1
2023,2/12,11.0 ,65.0 ,1018.2
2023,2/13,7.7 ,87.0 ,1006.2
2023,2/14,5.6 ,45.0 ,1006.7
2023,2/15,3.5 ,37.0 ,1016.4
2023,2/16,4.1 ,48.0 ,1024.3
2023,2/17,5.7 ,55.0 ,1023.3
2023,2/18,8.9 ,61.0 ,1019.0
2023,2/19,11.8 ,56.0 ,1003.1
2023,2/20,9.7 ,43.0 ,1007.0
2023,2/21,4.7 ,36.0 ,1019.1
2023,2/22,5.5 ,46.0 ,1025.7
2023,2/23,8.5 ,53.0 ,1017.2
2023,2/24,8.9 ,71.0 ,1013.6
2023,2/25,7.5 ,50.0 ,1015.6
2023,2/26,6.0 ,35.0 ,1022.8
2023,2/27,8.7 ,46.0 ,1027.8
2023,2/28,11.6 ,51.0 ,1023.1
2023,3/1,13.8 ,49.0 ,1015.0
2023,3/2,12.8 ,50.0 ,1007.8
2023,3/3,7.8 ,49.0 ,1020.9
2023,3/4,10.5 ,44.0 ,1021.6
2023,3/5,9.5 ,57.0 ,1023.6
2023,3/6,9.9 ,79.0 ,1019.8
2023,3/7,12.1 ,65.0 ,1018.4
2023,3/8,14.0 ,52.0 ,1018.3
2023,3/9,15.9 ,55.0 ,1016.7
2023,3/10,17.3 ,56.0 ,1015.1
2023,3/11,14.7 ,44.0 ,1022.4
2023,3/12,14.5 ,63.0 ,1021.4
2023,3/13,13.9 ,75.0 ,1010.7
2023,3/14,10.0 ,59.0 ,1018.9
2023,3/15,12.3 ,65.0 ,1024.3
2023,3/16,14.5 ,68.0 ,1020.0
2023,3/17,12.5 ,78.0 ,1017.7
2023,3/18,8.1 ,96.0 ,1011.1
2023,3/19,10.0 ,57.0 ,1014.7
2023,3/20,13.1 ,61.0 ,1016.2
2023,3/21,14.7 ,72.0 ,1014.0
2023,3/22,17.2 ,74.0 ,1014.2
2023,3/23,16.5 ,98.0 ,1009.4
2023,3/24,18.1 ,87.0 ,1004.4
2023,3/25,11.0 ,95.0 ,1014.6
2023,3/26,11.4 ,99.0 ,1008.4
2023,3/27,13.4 ,55.0 ,1012.9
2023,3/28,10.2 ,80.0 ,1019.9
2023,3/29,12.6 ,72.0 ,1018.9
2023,3/30,14.1 ,76.0 ,1017.4
2023,3/31,15.0 ,73.0 ,1014.8
2023,4/1,16.0 ,63.0 ,1013.5
2023,4/2,14.1 ,67.0 ,1015.8
2023,4/3,12.8 ,57.0 ,1019.9
2023,4/4,14.0 ,54.0 ,1021.9
2023,4/5,16.1 ,58.0 ,1019.6
2023,4/6,18.8 ,67.0 ,1013.7
2023,4/7,18.5 ,85.0 ,1006.8
2023,4/8,14.6 ,70.0 ,1001.3
2023,4/9,11.8 ,43.0 ,1013.3
2023,4/10,14.6 ,47.0 ,1015.8
2023,4/11,18.2 ,57.0 ,1013.6
2023,4/12,19.2 ,66.0 ,1007.0
2023,4/13,16.1 ,47.0 ,1014.8
2023,4/14,18.2 ,59.0 ,1013.6
2023,4/15,14.3 ,91.0 ,1004.5
2023,4/16,16.2 ,89.0 ,992.7
2023,4/17,15.1 ,46.0 ,1007.1
2023,4/18,13.6 ,61.0 ,1014.6
2023,4/19,18.0 ,69.0 ,1007.0
2023,4/20,20.4 ,72.0 ,1007.0
2023,4/21,21.6 ,66.0 ,1002.0
2023,4/22,14.9 ,45.0 ,1009.9
2023,4/23,14.2 ,38.0 ,1017.3
2023,4/24,13.2 ,38.0 ,1020.0
2023,4/25,14.1 ,56.0 ,1020.3
2023,4/26,15.6 ,87.0 ,1004.5
2023,4/27,17.2 ,52.0 ,1014.9
2023,4/28,18.7 ,64.0 ,1018.4
2023,4/29,19.4 ,66.0 ,1011.7
2023,4/30,19.7 ,90.0 ,1001.3
2023,5/1,17.8 ,70.0 ,1008.4
2023,5/2,17.4 ,42.0 ,1018.1
2023,5/3,17.8 ,59.0 ,1021.5
2023,5/4,19.7 ,65.0 ,1016.4
2023,5/5,21.1 ,61.0 ,1010.9
2023,5/6,23.0 ,61.0 ,1004.0
2023,5/7,17.6 ,92.0 ,1003.9
2023,5/8,12.9 ,87.0 ,1002.8
2023,5/9,15.1 ,53.0 ,1013.4
2023,5/10,17.7 ,61.0 ,1011.5
2023,5/11,15.8 ,76.0 ,1015.7
2023,5/12,17.1 ,68.0 ,1018.1
2023,5/13,16.7 ,83.0 ,1017.4
2023,5/14,16.9 ,83.0 ,1013.5
2023,5/15,16.1 ,94.0 ,1008.6
2023,5/16,19.9 ,66.0 ,1008.5
2023,5/17,22.8 ,67.0 ,1010.3
2023,5/18,25.4 ,53.0 ,1011.1
2023,5/19,20.6 ,79.0 ,1008.1
2023,5/20,18.8 ,90.0 ,1006.0
2023,5/21,21.1 ,79.0 ,1005.1
2023,5/22,22.5 ,77.0 ,1001.4
2023,5/23,13.9 ,93.0 ,1001.4
2023,5/24,18.2 ,58.0 ,1007.9
2023,5/25,18.6 ,64.0 ,1020.0
2023,5/26,20.1 ,68.0 ,1021.3
2023,5/27,21.2 ,66.0 ,1020.2
2023,5/28,21.6 ,72.0 ,1015.2
2023,5/29,19.8 ,97.0 ,1007.4
2023,5/30,21.4 ,88.0 ,1005.2
2023,5/31,19.3 ,71.0 ,1009.0
2023,6/1,20.8 ,72.0 ,1010.6
2023,6/2,21.3 ,99.0 ,999.7
2023,6/3,20.0 ,82.0 ,997.0
2023,6/4,21.6 ,67.0 ,1004.8
2023,6/5,23.1 ,64.0 ,1006.0
2023,6/6,20.7 ,78.0 ,1006.2
2023,6/7,22.5 ,74.0 ,1005.6
2023,6/8,23.1 ,73.0 ,1009.4
2023,6/9,20.2 ,99.0 ,1002.6
2023,6/10,22.4 ,87.0 ,1008.9
2023,6/11,21.2 ,97.0 ,1009.2
2023,6/12,21.3 ,100.0 ,1005.7
2023,6/13,23.7 ,86.0 ,1001.2
2023,6/14,23.6 ,87.0 ,1003.5
2023,6/15,21.7 ,95.0 ,1004.0
2023,6/16,24.6 ,66.0 ,1004.7
2023,6/17,25.4 ,59.0 ,1008.9
2023,6/18,25.7 ,72.0 ,1002.9
2023,6/19,23.7 ,68.0 ,1002.3
2023,6/20,22.5 ,68.0 ,1008.6
2023,6/21,22.6 ,71.0 ,1009.7
2023,6/22,19.9 ,84.0 ,1007.3
2023,6/23,21.1 ,85.0 ,1005.6
2023,6/24,24.7 ,78.0 ,1010.4
2023,6/25,25.8 ,76.0 ,1011.9
2023,6/26,25.9 ,77.0 ,1011.6
2023,6/27,25.9 ,82.0 ,1011.5
2023,6/28,27.1 ,80.0 ,1007.2
2023,6/29,27.3 ,78.0 ,1003.2
2023,6/30,26.3 ,89.0 ,1001.7
2023,7/1,25.3 ,93.0 ,1001.1
2023,7/2,26.0 ,79.0 ,1004.9
2023,7/3,27.3 ,79.0 ,1003.6
2023,7/4,25.9 ,75.0 ,1001.9
2023,7/5,25.2 ,80.0 ,1001.5
2023,7/6,26.4 ,82.0 ,1000.3
2023,7/7,28.4 ,71.0 ,1006.0
2023,7/8,27.8 ,77.0 ,1003.9
2023,7/9,28.6 ,78.0 ,1002.6
2023,7/10,30.2 ,72.0 ,1003.1
2023,7/11,29.4 ,74.0 ,1004.9
2023,7/12,30.8 ,66.0 ,1002.8
2023,7/13,28.0 ,67.0 ,1003.4
2023,7/14,27.4 ,76.0 ,1006.4
2023,7/15,28.8 ,73.0 ,1005.6
2023,7/16,30.2 ,71.0 ,1007.0
2023,7/17,31.3 ,64.0 ,1010.4
2023,7/18,31.8 ,59.0 ,1008.7
2023,7/19,29.7 ,74.0 ,1001.9
2023,7/20,28.1 ,71.0 ,1004.1
2023,7/21,27.2 ,71.0 ,1011.6
2023,7/22,27.2 ,70.0 ,1015.2
2023,7/23,27.7 ,66.0 ,1013.8
2023,7/24,28.5 ,70.0 ,1012.1
2023,7/25,29.8 ,65.0 ,1012.4
2023,7/26,31.0 ,59.0 ,1012.7
2023,7/27,30.6 ,65.0 ,1012.2
2023,7/28,30.4 ,69.0 ,1012.9
2023,7/29,30.0 ,67.0 ,1013.6
2023,7/30,30.3 ,69.0 ,1012.5
2023,7/31,30.7 ,69.0 ,1010.5
2023,8/1,26.0 ,88.0 ,1010.6
2023,8/2,28.9 ,75.0 ,1009.0
2023,8/3,30.2 ,69.0 ,1007.2
2023,8/4,31.3 ,65.0 ,1004.1
2023,8/5,30.4 ,71.0 ,1002.1
2023,8/6,28.6 ,81.0 ,1001.6
2023,8/7,29.4 ,76.0 ,1003.6
2023,8/8,30.1 ,74.0 ,1006.1
2023,8/9,28.2 ,90.0 ,1009.5
2023,8/10,29.5 ,73.0 ,1009.6
2023,8/11,29.5 ,72.0 ,1005.1
2023,8/12,29.7 ,71.0 ,1001.4
2023,8/13,27.4 ,94.0 ,1002.2
2023,8/14,28.6 ,88.0 ,1002.2
2023,8/15,28.6 ,85.0 ,1002.6
2023,8/16,28.1 ,86.0 ,1003.3
2023,8/17,29.9 ,77.0 ,1004.7
2023,8/18,30.0 ,77.0 ,1007.2
2023,8/19,30.3 ,76.0 ,1009.2
2023,8/20,30.3 ,73.0 ,1009.3
2023,8/21,29.8 ,76.0 ,1008.8
2023,8/22,28.6 ,87.0 ,1009.1
2023,8/23,29.4 ,82.0 ,1010.1
2023,8/24,29.5 ,79.0 ,1010.9
2023,8/25,29.6 ,74.0 ,1009.2
2023,8/26,28.1 ,81.0 ,1008.1
2023,8/27,28.0 ,78.0 ,1005.6
2023,8/28,29.2 ,74.0 ,1005.4
2023,8/29,29.4 ,74.0 ,1010.6
2023,8/30,29.6 ,74.0 ,1013.1
2023,8/31,29.0 ,74.0 ,1014.1
2023,9/1,29.2 ,71.0 ,1012.1
2023,9/2,29.6 ,72.0 ,1010.3
2023,9/3,29.1 ,74.0 ,1010.6
2023,9/4,26.1 ,96.0 ,1007.5
2023,9/5,29.3 ,77.0 ,1005.2
2023,9/6,27.5 ,79.0 ,1003.6
2023,9/7,27.0 ,72.0 ,1007.9
2023,9/8,21.9 ,98.0 ,1007.8
2023,9/9,24.8 ,93.0 ,1006.8
2023,9/10,27.8 ,83.0 ,1009.1
2023,9/11,28.1 ,79.0 ,1010.1
2023,9/12,27.7 ,76.0 ,1010.0
2023,9/13,28.0 ,74.0 ,1010.9
2023,9/14,28.2 ,80.0 ,1009.9
2023,9/15,27.4 ,88.0 ,1010.9
2023,9/16,27.9 ,86.0 ,1011.5
2023,9/17,28.7 ,80.0 ,1011.5
2023,9/18,28.9 ,74.0 ,1011.6
2023,9/19,29.0 ,72.0 ,1010.1
2023,9/20,27.2 ,82.0 ,1009.3
2023,9/21,26.7 ,87.0 ,1006.7
2023,9/22,24.8 ,93.0 ,1008.1
2023,9/23,22.1 ,89.0 ,1012.5
2023,9/24,22.2 ,67.0 ,1017.2
2023,9/25,22.4 ,69.0 ,1017.1
2023,9/26,24.6 ,71.0 ,1012.7
2023,9/27,25.3 ,81.0 ,1008.1
2023,9/28,27.4 ,79.0 ,1004.7
2023,9/29,26.3 ,75.0 ,1009.0
2023,9/30,25.6 ,77.0 ,1007.5
2023,10/1,25.6 ,80.0 ,1003.4
2023,10/2,23.3 ,57.0 ,1009.4
2023,10/3,22.8 ,53.0 ,1014.6
2023,10/4,18.7 ,94.0 ,1010.9
2023,10/5,20.0 ,76.0 ,998.9
2023,10/6,20.8 ,38.0 ,1005.6
2023,10/7,20.4 ,41.0 ,1014.3
2023,10/8,18.1 ,61.0 ,1022.3
2023,10/9,15.4 ,99.0 ,1016.8
2023,10/10,20.2 ,82.0 ,1006.6
2023,10/11,19.8 ,59.0 ,1016.0
2023,10/12,19.4 ,61.0 ,1018.5
2023,10/13,18.5 ,55.0 ,1013.7
2023,10/14,18.2 ,65.0 ,1008.7
2023,10/15,14.9 ,99.0 ,1002.1
2023,10/16,19.0 ,74.0 ,1005.8
2023,10/17,19.5 ,56.0 ,1011.4
2023,10/18,18.9 ,66.0 ,1017.7
2023,10/19,20.3 ,71.0 ,1014.1
2023,10/20,21.8 ,66.0 ,1003.8
2023,10/21,19.0 ,47.0 ,1005.8
2023,10/22,15.9 ,51.0 ,1017.6
2023,10/23,16.7 ,60.0 ,1019.2
2023,10/24,17.7 ,70.0 ,1017.6
2023,10/25,17.7 ,75.0 ,1012.5
2023,10/26,16.9 ,70.0 ,1010.1
2023,10/27,17.8 ,69.0 ,1007.3
2023,10/28,17.5 ,71.0 ,1006.9
2023,10/29,16.3 ,63.0 ,1011.0
2023,10/30,16.9 ,62.0 ,1017.5
2023,10/31,17.2 ,72.0 ,1019.7
2023,11/1,18.0 ,72.0 ,1016.8
2023,11/2,18.2 ,68.0 ,1015.1
2023,11/3,18.8 ,75.0 ,1016.3
2023,11/4,19.7 ,79.0 ,1018.7
2023,11/5,20.0 ,81.0 ,1023.6
2023,11/6,21.4 ,87.0 ,1016.7
